id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
6284807d-45cc-42ce-84b5-e9197af71c1b,Ana Sophia Machado,1967-03-13,246.928.586-08,96712-754,Vargas,TO,Brasil,M,+55 (061) 0341-4790,24692858608@exemplo.com.br,2024-11-10
0b52f44b-b837-4ee7-a0fa-d7aca1ffadef,Nicolas da Cruz,1949-02-28,788.202.940-55,47487226,Pires da Serra,SC,Brasil,M,+55 (051) 5926-0890,78820294055@exemplo.com.br,2024-05-12
78cbec86-c1f7-458e-93f0-66fc6bc68575,Henry Gabriel da Rocha,1961-10-10,035.346.309-01,86215675,Teixeira de Araújo,RR,Brasil,M,71 8769 7817,03534630901@exemplo.com.br,2023-12-17
73241e29-0d68-4568-984e-b1f3096d420d,Vicente Azevedo,1957-04-15,813.746.755-06,27076-430,da Costa,GO,Brasil,F,41 4623 4368,81374675506@exemplo.com.br,2024-08-27
60c7d635-bf34-4b07-bc47-8eb7d8b5c4da,Thales Lima,1963-10-26,777.120.329-31,43861-628,Correia,SE,Brasil,M,+55 (061) 0267 5411,77712032931@exemplo.com.br,2025-06-11
da482330-83b7-4e30-baff-01dffe1f65bd,Noah Câmara,1964-03-09,239.411.601-22,62294805,Peixoto Paulista,PI,Brasil,F,51 6963 4163,23941160122@exemplo.com.br,2024-12-07
90c3adac-8279-4a86-a069-e441c9c2cc0f,Heitor da Luz,1954-02-21,405.437.743-13,25799-371,Vargas da Prata,GO,Brasil,F,+55 (061) 9716 3321,40543774313@exemplo.com.br,2023-12-28
de1d04ec-5aec-4984-8949-d44e389596e0,Thiago Machado,1970-09-25,074.049.165-74,06105-805,Machado,PA,Brasil,M,+55 (084) 6267 5039,07404916574@exemplo.com.br,2025-06-10
c8be8ede-77c4-43c9-b08d-b80d905c2ab5,Emilly Melo,1972-05-17,840.231.877-86,62304103,Moraes,RO,Brasil,M,0500 933 5443,84023187786@exemplo.com.br,2025-05-21
8e4627d9-738c-4e50-b2fe-9b82c1f86431,Eloá Sá,1972-09-16,323.793.616-68,74648530,Aragão,CE,Brasil,F,+55 21 4369-1623,32379361668@exemplo.com.br,2024-06-16
61bcf05c-6f70-4b63-ad18-98350080723e,Maria Laura Câmara,1998-01-06,541.095.699-06,55291-959,Pastor de Novaes,PI,Brasil,F,+55 41 8722 5962,54109569906@exemplo.com.br,2024-11-30
6e4f5262-7e78-4126-ab9e-cb0e3d7431ea,José Pedro Cardoso,1972-07-17,014.160.640-75,23084988,Novaes,PR,Brasil,F,61 9427 8668,01416064075@exemplo.com.br,2024-06-27
78139f9b-40a1-493d-804b-f0cf50c65f8d,Evelyn Silva,1964-10-17,583.976.941-35,63982649,Andrade de Guerra,MS,Brasil,M,11 5316 6729,58397694135@exemplo.com.br,2025-05-14
c31abc3b-ce0a-43ba-a824-2072cf6945de,João Guilherme Jesus,2000-01-02,946.282.134-26,11919-152,Cavalcanti Paulista,SC,Brasil,M,+55 (011) 6382 0284,94628213426@exemplo.com.br,2024-08-18
6f3f4086-2470-4b91-a052-cfb06dfab1a4,Ayla da Rosa,1984-01-16,041.851.981-18,67302668,Fogaça,RS,Brasil,F,0900 447 8534,04185198118@exemplo.com.br,2024-04-11
ab323f00-7bda-4e39-b21d-0d4cc7c9a27b,Melissa Porto,1964-05-24,667.053.120-91,80529-685,Silveira do Sul,AM,Brasil,M,+55 (041) 6841-8287,66705312091@exemplo.com.br,2024-10-03
2c136992-4423-43d3-abc7-79c98b12b0d3,Sr. Liam Borges,1993-02-17,578.298.306-12,42083-285,Cassiano,AL,Brasil,M,21 7767-9919,57829830612@exemplo.com.br,2023-10-07
fa20161a-2447-49f6-ae27-d9c5cedddc58,Maitê Aragão,1947-04-05,565.773.046-35,23238400,Farias,SP,Brasil,F,+55 84 1335-5360,56577304635@exemplo.com.br,2024-07-17
5e18b834-492d-4a00-96a7-16868e33ca4a,Felipe Nascimento,1966-05-14,631.458.725-75,27669-968,Fonseca,RN,Brasil,M,+55 (021) 3988-8908,63145872575@exemplo.com.br,2024-10-04
ae8bd3a5-b083-4fef-b7ec-cbd362203dec,Dr. Arthur da Mata,1975-05-22,406.139.580-37,47568-519,Lima de Lima,PR,Brasil,F,(061) 8162 3850,40613958037@exemplo.com.br,2024-02-14
c8068e68-81a4-4ccb-beca-46d5d5ff17d0,Sr. Ravy Araújo,1975-05-24,054.860.954-69,54173-071,Cardoso,AL,Brasil,F,11 1074-1876,05486095469@exemplo.com.br,2024-04-25
7dfbdbfe-0934-444e-b8e2-44b8e587f31b,Ana Carolina Nunes,1981-07-14,676.085.634-30,12317-565,Lima Alegre,RS,Brasil,F,84 1131-2223,67608563430@exemplo.com.br,2024-02-11
ed6565cf-86d3-48b8-a537-1b3c147d4f41,Dra. Emilly Carvalho,1995-02-22,050.811.082-39,33835493,Carvalho de Goiás,RN,Brasil,M,21 4180 9468,05081108239@exemplo.com.br,2023-12-30
d8c50028-2c5f-4de5-8ceb-a4bea5d02c05,Dr. Yan das Neves,1953-05-21,054.133.202-30,14881-495,Cardoso de Oliveira,MA,Brasil,F,+55 (051) 2089-7065,05413320230@exemplo.com.br,2024-07-15
e066a74e-fec9-4178-ad86-5124a3ee936a,Joaquim Lima,1959-06-28,675.711.589-86,47023-253,da Rocha,PE,Brasil,M,0500-728-4634,67571158986@exemplo.com.br,2023-10-30
6b067851-b8e4-4514-bf9c-d7954b615738,Eduardo Novais,1957-10-03,923.266.216-08,13233-841,Barros,BA,Brasil,F,51 4923 5605,92326621608@exemplo.com.br,2024-12-05
a94c074d-e9e1-4679-b4c9-de6cd72c74be,Maria Helena Monteiro,1985-12-21,217.858.254-07,49791546,Gonçalves do Sul,BA,Brasil,M,+55 (081) 5090 1341,21785825407@exemplo.com.br,2024-07-01
df0d1879-2a4c-4e31-aa33-5da379512fa9,Sr. Diogo Rios,1984-10-22,512.485.886-84,68536-666,Ferreira do Galho,AL,Brasil,F,+55 (061) 4714 2277,51248588684@exemplo.com.br,2023-08-30
8f24039d-0448-47e9-bcd3-432245e18087,Nathan Duarte,1951-07-25,137.855.829-82,54800-777,Campos Paulista,RN,Brasil,F,+55 71 2914-1211,13785582982@exemplo.com.br,2023-09-29
e4dedc17-6907-4c43-bead-e86d3909fb07,Heloisa Freitas,1973-08-16,567.126.377-47,10449793,Silveira do Oeste,BA,Brasil,M,(081) 4521-3844,56712637747@exemplo.com.br,2023-12-11
367924b6-be96-4d1a-83aa-75d6c2911d81,Srta. Lívia Farias,2007-01-13,938.810.486-96,59242809,Cirino,RN,Brasil,M,61 6905-8311,93881048696@exemplo.com.br,2024-11-05
257b31e4-e816-4292-97bb-384c5f316465,Sra. Ísis da Rocha,1974-07-09,855.025.504-47,00782-968,Santos de Fogaça,DF,Brasil,M,+55 (081) 2122 7155,85502550447@exemplo.com.br,2024-06-11
912bb03e-da28-4be5-b8a1-2108158da12a,Noah Mendes,1959-03-28,307.058.719-33,42480342,Araújo,MS,Brasil,M,+55 (011) 8878-7749,30705871933@exemplo.com.br,2023-10-24
d0fa6bf5-84a7-4d8f-b75c-6e24e45a5a6e,José Pedro Nogueira,1984-12-26,902.294.704-75,99458-907,Santos do Norte,AC,Brasil,F,+55 (041) 0014-7016,90229470475@exemplo.com.br,2024-04-21
0de3bcc8-dfbd-4a45-8da5-3298e8cf7586,Davi Luiz Costa,1996-05-22,426.669.328-44,25955-629,Gomes de Minas,PA,Brasil,M,0300-855-2651,42666932844@exemplo.com.br,2023-09-26
7c7ffaf9-5a55-4d1b-a419-feca54eb7051,Ayla Sales,2006-10-08,643.296.975-70,51822-022,Martins de Moura,AC,Brasil,M,61 2939-2793,64329697570@exemplo.com.br,2024-07-22
c8cd8399-6c80-40e3-b873-96362b4ca31e,Yasmin da Paz,1969-08-04,666.313.425-20,10131-138,Duarte,MT,Brasil,M,+55 41 9216 4094,66631342520@exemplo.com.br,2024-08-22
bd4a5c17-54be-4933-a801-075402518a52,Stephany das Neves,1975-07-10,841.171.404-10,85352-430,Rezende da Mata,MA,Brasil,F,(031) 2878 2593,84117140410@exemplo.com.br,2023-09-20
66678ad8-3b87-4fd7-a1e7-aa9ea2a22512,Davi Miguel Porto,1936-01-01,437.662.935-03,46236825,Leão,AL,Brasil,F,(081) 3215 4854,43766293503@exemplo.com.br,2024-01-07
c58a2e31-f6d4-4cad-ac5c-a3c9f96b4299,Thales Silva,1937-07-26,076.262.161-65,47571-744,Cardoso das Pedras,AL,Brasil,F,+55 61 5870 1787,07626216165@exemplo.com.br,2025-03-27
1de40294-f737-4a6b-b8b5-a99e6a716f6f,Gabrielly da Cunha,2001-03-16,704.451.936-41,77399-976,Oliveira,SE,Brasil,F,+55 (061) 7111-6039,70445193641@exemplo.com.br,2024-04-17
5841e1d5-7f93-45d7-acd5-8f111efb42a6,Pedro Miguel Marques,1962-08-30,343.388.822-14,10958944,Garcia,PA,Brasil,M,71 1204 9035,34338882214@exemplo.com.br,2024-10-16
bddfc870-2e24-4b6e-ac20-16b45e38b10c,Sarah Araújo,1952-11-04,141.727.958-79,44777-311,Santos,RJ,Brasil,F,+55 (084) 7142 9593,14172795879@exemplo.com.br,2025-04-04
768f721d-68a1-4584-bdb4-ab013ecac70a,Lucca Câmara,1990-09-28,138.350.614-06,80667030,Andrade de Correia,BA,Brasil,F,(011) 9613-6877,13835061406@exemplo.com.br,2024-12-30
766f77b5-3d49-44e9-8883-4d4ad0445bd9,Gabriel Cardoso,1989-09-17,790.733.549-47,85477345,da Mota,CE,Brasil,M,(011) 9853 5899,79073354947@exemplo.com.br,2024-01-03
bbef8882-573f-41dd-ae35-9c64a24c7b6a,Sr. Bruno Nascimento,1946-10-28,636.535.024-96,24471339,Andrade,SE,Brasil,F,(041) 9856-2024,63653502496@exemplo.com.br,2024-09-24
2951c565-f13f-4007-ac4b-2e1502f1fd11,Daniel Almeida,1945-03-20,112.338.109-93,66902163,Melo da Praia,AM,Brasil,M,61 1147-2341,11233810993@exemplo.com.br,2025-04-19
871daeb0-612a-4cdd-be3a-40c35b3f37fc,Zoe Fonseca,1936-02-13,668.456.551-11,04684463,Silveira da Mata,PI,Brasil,M,+55 (011) 3539 6803,66845655111@exemplo.com.br,2024-11-12
c8daa548-6aab-4725-ab20-aca3f1b49eb3,Dra. Maria Helena da Cunha,1946-01-08,151.902.925-76,85857-732,Costela,RJ,Brasil,M,(021) 2938-1230,15190292576@exemplo.com.br,2024-03-01
45a5578a-885a-4d51-881a-4e06457a6f79,Nathan Vasconcelos,1977-05-17,554.705.998-78,43263292,Andrade Paulista,ES,Brasil,M,41 8339 7063,55470599878@exemplo.com.br,2023-09-01
80786632-ee25-4570-88d9-c99505e2db57,Isis Sampaio,1963-12-16,162.669.382-98,24570-369,Pinto do Galho,GO,Brasil,F,41 2168-2359,16266938298@exemplo.com.br,2024-10-24
dd521b8b-c625-4043-a33e-43f82aae1bc6,Sr. Enzo Gabriel Moraes,1957-06-02,925.912.052-51,42007-662,Sampaio,PR,Brasil,F,+55 81 1994 0894,92591205251@exemplo.com.br,2024-11-06
e72a751f-3e4c-414d-922f-e3162105b006,Vitor Gabriel Porto,1950-06-05,426.777.875-20,13303894,Novaes,MA,Brasil,F,0500-943-8926,42677787520@exemplo.com.br,2025-02-13
13cc75ff-f73f-4511-9f32-b4ded9ba302e,Sra. Maria Luísa Pacheco,1955-12-06,731.763.761-18,50145299,da Costa,AC,Brasil,M,84 4438-3215,73176376118@exemplo.com.br,2024-08-07
6ab23010-e923-4672-8433-9a3b6d0afbee,Ana Beatriz Porto,1978-12-01,799.427.551-82,48236974,Pastor,RR,Brasil,F,(051) 8631 8024,79942755182@exemplo.com.br,2024-12-15
9a76d190-691d-402d-90d0-a08d72214b17,Ana Vitória Rodrigues,1969-01-10,220.609.028-53,71243-953,Nunes,PI,Brasil,M,+55 51 5936 2771,22060902853@exemplo.com.br,2024-07-21
9bbc0001-e958-4c43-8db6-83c47335af90,Erick Leão,1947-11-12,202.637.248-37,48705404,Camargo,AL,Brasil,M,+55 41 2546-0237,20263724837@exemplo.com.br,2024-08-20
0ffb4ae0-ded4-4f03-bd23-cd6f0ef6cb4b,Hellena Almeida,1961-02-27,566.571.078-59,87984-789,Oliveira,MA,Brasil,M,+55 (051) 6041 5586,56657107859@exemplo.com.br,2024-09-07
aa2a57d5-477c-4daf-ade5-c0cba1e3c6e2,Sofia Guerra,1953-02-01,868.077.293-37,41459796,Cavalcanti do Norte,CE,Brasil,F,+55 (021) 8591 0186,86807729337@exemplo.com.br,2024-12-01
8f9fdf2e-2fe0-4728-b6e1-b9f919a90666,Ryan Melo,1976-06-12,430.120.731-17,15119746,Mendes do Galho,AP,Brasil,F,+55 (031) 9784 9989,43012073117@exemplo.com.br,2025-01-02
bc905f82-6e8a-4a1c-b892-9dab8617fb61,Sra. Luísa Lima,1994-11-29,897.472.630-04,50291-612,Garcia,AM,Brasil,F,+55 (061) 9706-1952,89747263004@exemplo.com.br,2024-07-13
cc21d716-7132-416b-a8b5-de3171f376b3,Ana Clara Sampaio,1964-05-01,212.543.099-35,31893558,Duarte,PI,Brasil,M,(084) 2934-8947,21254309935@exemplo.com.br,2024-02-08
1a901fc5-0533-4a9c-8ba0-294d304c0f09,Eloá Nogueira,1988-06-22,818.106.284-54,37402643,Macedo,MG,Brasil,M,41 5708-4615,81810628454@exemplo.com.br,2025-05-03
911236c5-86cd-4968-968e-c1b2f465fc83,Srta. Maria Clara Almeida,1981-05-12,066.496.833-80,85652-439,Andrade do Norte,MT,Brasil,F,(071) 1182 0210,06649683380@exemplo.com.br,2025-05-25
3d3a279a-437c-402e-8f61-a6177fa486cb,Ana Julia Novaes,2007-05-18,029.474.828-85,81650971,Nascimento Grande,GO,Brasil,M,+55 81 3933-0358,02947482885@exemplo.com.br,2024-11-10
9d8efa2f-7f5f-4dbf-8c75-577d439eb6e4,Ravi Lucca Nogueira,1991-04-05,234.104.904-84,57790074,Pires,PA,Brasil,F,+55 (041) 1120 0691,23410490484@exemplo.com.br,2024-04-03
4a33a5fb-4377-4ef5-8654-44dcb7d5cba8,Samuel Cassiano,1949-05-03,498.755.486-69,71396550,Lima do Oeste,AL,Brasil,F,+55 41 9530 3092,49875548669@exemplo.com.br,2024-06-24
feb78395-7e65-486c-8dea-975bf966700c,Lara Mendonça,1973-12-03,647.313.821-37,38063402,da Mata da Praia,PR,Brasil,F,31 2368-4402,64731382137@exemplo.com.br,2023-09-30
bdede4c5-891c-47a3-8787-32780a2d5eaf,Isis Pinto,1949-10-06,003.133.415-37,82635671,Castro,GO,Brasil,M,(081) 3908 5701,00313341537@exemplo.com.br,2024-07-15
99a1cb76-e63a-4286-83d0-35ae09f2facc,Carolina Fonseca,1995-08-14,507.905.489-69,12751251,Barros de Andrade,PI,Brasil,F,+55 (081) 9227 3401,50790548969@exemplo.com.br,2024-01-13
c6752340-e197-46f0-9e90-08412c100cf1,Allana Jesus,1957-01-11,155.173.786-60,00051-671,Siqueira do Galho,RR,Brasil,M,+55 (021) 8228-7907,15517378660@exemplo.com.br,2024-07-17
ed002fad-14b5-4cd2-a166-55d98f1a43d5,Isabelly Gonçalves,1992-09-06,981.796.841-55,05123476,Sá Grande,RO,Brasil,M,+55 (061) 2226 7084,98179684155@exemplo.com.br,2024-08-05
3ab49132-20cc-4f32-97cb-1470ed529be3,Thomas Pereira,2005-01-02,064.872.723-35,14713938,Oliveira de Vieira,AC,Brasil,F,0800 347 9358,06487272335@exemplo.com.br,2024-12-11
0206c16c-bc3e-452e-81d4-17feed4a30a8,Henrique Campos,1941-08-17,234.384.265-74,52183448,da Cruz,RN,Brasil,F,(071) 6254-2572,23438426574@exemplo.com.br,2024-04-12
01e58071-05b4-42be-8113-9b15b9fc8220,Ana Clara Lopes,1943-09-27,384.242.288-91,96931172,Pinto,DF,Brasil,F,41 1645-4424,38424228891@exemplo.com.br,2023-08-25
93771e7a-b7b0-4171-99b7-4dbf1ff0b436,Dr. Rael Sá,1965-05-07,265.264.339-44,54930-133,da Costa da Mata,RN,Brasil,F,(041) 4308 9130,26526433944@exemplo.com.br,2025-05-01
7c89768a-33ac-4854-81a8-f6100e0ad88c,Carlos Eduardo Campos,1947-05-07,224.238.920-24,70923-993,Santos de Fernandes,RR,Brasil,M,+55 81 4602-8038,22423892024@exemplo.com.br,2023-10-22
73d4c042-6e72-41a6-8dc5-2700473edec8,Maria Flor Cavalcanti,1994-09-20,455.911.058-29,17174092,Pimenta,AP,Brasil,M,0800-347-6420,45591105829@exemplo.com.br,2025-07-12
3b74ff86-df37-4298-b521-3b8ffc4c44a2,Caio da Mota,1988-10-29,983.209.255-40,40813706,Teixeira,RR,Brasil,F,+55 71 6505-9502,98320925540@exemplo.com.br,2025-08-15
06985c69-351e-4e93-9022-e00d6869cd63,Alexia Mendes,1944-09-26,466.910.988-76,07196-478,Mendonça,SP,Brasil,M,+55 61 5883-6599,46691098876@exemplo.com.br,2024-05-15
d3931862-5759-455b-bbaf-b702e1b7dd40,Diego Carvalho,1992-04-27,992.949.928-02,37050-603,Garcia,RO,Brasil,M,71 1603 9059,99294992802@exemplo.com.br,2023-09-08
8735a8bc-b2b0-4d32-ba42-e63697f2b3cc,Davi Lucas Moreira,1949-01-12,221.775.448-05,24011382,Martins de da Mota,RR,Brasil,M,0800 546 3505,22177544805@exemplo.com.br,2024-05-18
1fb38818-cdff-4caf-87d8-030e473d153d,Nicole Nascimento,1993-03-14,190.082.526-57,66061-471,Dias dos Dourados,MA,Brasil,M,11 0292-4206,19008252657@exemplo.com.br,2024-09-22
65896cb4-1b46-4091-bb06-8b31e6fddb4c,Srta. Lunna Moreira,1970-06-21,652.929.902-48,93238-968,Castro do Campo,AP,Brasil,M,(031) 3417 4148,65292990248@exemplo.com.br,2024-08-01
e2e63337-a835-494e-bcf4-ea13890f1878,Mariana da Mota,1944-09-30,873.089.208-90,91372-856,Ferreira Paulista,ES,Brasil,F,(061) 4889-2391,87308920890@exemplo.com.br,2024-02-15
41804434-26f3-45e9-ae7e-c1ac8eae56a5,Jade Moraes,1942-10-08,296.480.737-15,93163-233,Novais de Goiás,TO,Brasil,M,(031) 3518-0117,29648073715@exemplo.com.br,2023-11-17
87022929-88a7-4efa-ad7a-8a616b611bd2,André Aragão,1944-07-13,360.241.645-38,29217641,Nogueira,CE,Brasil,F,+55 (061) 5894 9642,36024164538@exemplo.com.br,2025-04-24
0a19989e-0ac5-4f12-afce-a0a91ee70c33,Maria Julia das Neves,1974-10-06,676.583.123-56,94920-189,Rezende,CE,Brasil,F,(051) 7921-6897,67658312356@exemplo.com.br,2025-05-25
a0c147bd-3836-49ae-b9be-9d93cb1f9691,Rhavi Pacheco,1965-07-02,440.576.357-85,13835038,Sá das Pedras,RR,Brasil,F,(084) 8142-6893,44057635785@exemplo.com.br,2023-11-13
6b034afa-06d2-406c-bbb0-1bada3a5c482,Carolina da Paz,1940-12-16,975.878.402-64,13027080,Pimenta,AM,Brasil,F,61 8122-9473,97587840264@exemplo.com.br,2023-12-07
0afa8a6c-4554-406d-b714-1245c79d680f,João Gabriel Alves,1965-06-06,697.880.160-46,40409124,Lopes,MT,Brasil,M,+55 61 8797-2471,69788016046@exemplo.com.br,2023-12-15
58ac3906-2047-4b2f-87fe-6939f9b3a234,Rebeca Pinto,2004-11-21,913.614.440-90,79732109,Santos,SC,Brasil,M,+55 81 4169 7558,91361444090@exemplo.com.br,2025-08-12
4f212f97-e979-4f2f-9cd1-87d21884926d,Felipe Moraes,1981-04-24,996.508.784-02,44442-455,Castro,GO,Brasil,F,41 5063-0461,99650878402@exemplo.com.br,2024-05-16
df485fdd-0911-4418-b10c-0dd75bb0efac,Maria Sophia Pacheco,1980-07-22,283.618.589-93,08416632,Freitas de Goiás,RN,Brasil,F,0900 540 4516,28361858993@exemplo.com.br,2025-08-17
cabad767-a457-4c8f-ae5d-08fcaa0204ee,Dra. Daniela Vieira,1975-12-17,346.828.212-29,72024-520,Nogueira de Moraes,RR,Brasil,M,(081) 3263 8443,34682821229@exemplo.com.br,2023-10-29
c24f18a7-2122-4722-a830-42fef5280916,Thomas Andrade,1983-08-25,323.798.939-09,68922307,Araújo,AL,Brasil,F,+55 61 9702 7243,32379893909@exemplo.com.br,2025-01-11
fc6e002b-2458-4ab4-9870-dbd99d75ef79,Raquel Viana,1972-12-16,639.311.449-01,50644393,Montenegro,DF,Brasil,F,+55 51 7099 5146,63931144901@exemplo.com.br,2025-03-18
cd7dfe51-8aec-405c-b91c-1d432120a048,Ana Clara Dias,1948-04-12,751.899.672-71,51779-183,Cunha,RS,Brasil,M,61 0873-1311,75189967271@exemplo.com.br,2024-12-06
e124dc8a-1123-459d-95fd-7a596eef748a,Nina Melo,1935-11-15,608.506.200-58,36487-993,Peixoto,GO,Brasil,F,+55 31 3183-4830,60850620058@exemplo.com.br,2025-05-28
28bb31b9-f846-4774-b3a9-d1cba493f2d4,Fernando da Cruz,1956-05-09,814.824.607-30,14169792,Costa do Campo,SC,Brasil,M,0500-818-0178,81482460730@exemplo.com.br,2024-05-31
bba20ae9-2ac0-44f3-81e8-fe1c31096e2d,Rael Lima,1987-09-22,912.691.428-68,39335-336,Dias de da Rosa,MA,Brasil,F,41 2176-3589,91269142868@exemplo.com.br,2025-01-04
93d537a4-1804-4ed3-a3fc-8f2018c9c1bd,Zoe Gonçalves,1935-04-29,636.224.456-33,03265-953,Ferreira,PE,Brasil,M,21 5405 3003,63622445633@exemplo.com.br,2024-01-19
0cb01966-fa29-4d4b-8643-3fe714e9c6c3,Bruna Gonçalves,1936-01-08,119.247.782-35,62009-413,da Rocha Alegre,ES,Brasil,M,+55 (081) 0503-4654,11924778235@exemplo.com.br,2023-11-25
883fcd4c-d069-480c-be7e-e2c0561593df,Theodoro Casa Grande,1983-04-25,976.712.701-75,03015484,das Neves da Mata,AC,Brasil,F,+55 81 5042 6315,97671270175@exemplo.com.br,2023-10-29
9663e497-13c4-44f4-ac47-067580b9685f,Dr. Pedro Henrique Araújo,1996-12-09,512.747.826-11,57095-678,Marques,PE,Brasil,M,+55 84 0638-8474,51274782611@exemplo.com.br,2024-10-26
78329d41-0cbb-493a-b99e-901c4a600bad,Dra. Alana Barbosa,2005-04-03,467.919.947-97,99820-296,Fogaça,MG,Brasil,M,0300-980-0926,46791994797@exemplo.com.br,2025-07-14
15849f0a-967b-499a-8819-d7874e1bdf70,Manuela Rodrigues,1974-05-16,804.437.843-59,11638724,Correia do Norte,CE,Brasil,F,(071) 0924 8145,80443784359@exemplo.com.br,2024-06-25
7b8707e8-2c55-485c-8381-029f2ef99e7f,Dra. Kamilly Montenegro,2001-03-15,504.059.707-46,72451-553,Sousa,SC,Brasil,M,61 5353 8484,50405970746@exemplo.com.br,2024-02-29
7e0e85bd-9ddd-4b1f-9bbb-5de3b2b88711,Dra. Melina Costa,1972-10-26,643.640.362-27,99658-886,Peixoto,CE,Brasil,M,11 6535 7001,64364036227@exemplo.com.br,2025-03-02
6f8e9c2f-5908-4f07-9e8e-1d0f39bc10a5,Sra. Marcela Camargo,1966-03-31,073.541.436-95,97330-872,Macedo da Serra,RJ,Brasil,F,81 9829-1900,07354143695@exemplo.com.br,2025-06-16
0e539c7d-54bd-43cc-a6cb-9682842b4bbc,Cecilia Siqueira,1956-01-17,725.103.688-95,99769855,da Luz de Goiás,PI,Brasil,F,+55 (084) 3080 5734,72510368895@exemplo.com.br,2025-05-13
7dbbbbc0-f55c-4635-8908-f6f8fe0a6d69,Theodoro Viana,1946-12-02,263.458.448-88,39564-776,Rezende de Minas,TO,Brasil,M,+55 (031) 9542 3868,26345844888@exemplo.com.br,2024-12-11
5bf709b0-ca7a-45e3-9bde-5047de04913f,Srta. Nicole das Neves,1966-12-19,829.507.610-37,53178731,Rezende,SE,Brasil,M,+55 41 2316-2101,82950761037@exemplo.com.br,2025-08-17
14686cc7-8720-46eb-b70c-90286591406f,Sr. Arthur Gabriel Novaes,1986-04-12,385.060.912-83,81977937,Martins,GO,Brasil,F,+55 81 9897 0730,38506091283@exemplo.com.br,2025-04-30
e48cdf7a-1563-4532-bced-66b21b5bf2a8,Maria Alice Marques,1978-02-28,385.154.166-30,21737-355,Porto,AP,Brasil,F,+55 (021) 2566-5835,38515416630@exemplo.com.br,2024-06-03
ea37c851-676e-4e29-8d7e-19c459c34af5,Calebe Souza,1991-11-28,875.043.294-46,26795-935,Siqueira dos Dourados,RJ,Brasil,M,+55 51 5448 5754,87504329446@exemplo.com.br,2023-10-03
e1588620-314c-4d8b-b3ac-8fed3a9199b8,Leonardo Azevedo,1981-12-13,270.347.115-47,49007-896,da Luz,RO,Brasil,M,0800 455 5304,27034711547@exemplo.com.br,2024-04-30
c2e31311-c3c6-4972-92ca-7cc8f8cd9fea,João Guilherme Andrade,1997-07-01,776.230.828-11,04176-718,da Mota,PA,Brasil,M,0300-411-1188,77623082811@exemplo.com.br,2024-02-22
